exec_entity_id,type,json_value,string_value
5413114,scale,,Mid Cap
5413114,sectors,"[""Business Services""]",
5413114,sub_sectors,"[""Data & Information Services""]",
1452697,scale,,Large Cap
1143524,scale,,Small Cap
1417787,hq_address,,France
1417787,hq_address,,France
1417787,hq_address,,France
1417787,industry_tags,"[""Other Information Services"",""Legal and Regulatory Data""]",
1417787,scale,,Mid Cap
1417787,sectors,"[""Business Services""]",
1417787,sub_sectors,"[""Data & Information Services""]",
1323794,hq_address,,Germany
1323794,industry_tags,"[""Wealth Management""]",
1323794,scale,,Very Large Cap
1323794,sectors,"[""Financial Services""]",
1323794,sub_sectors,"[""Asset and Wealth Management""]",
5413118,hq_address,,France
5413118,hq_address,,France
5413118,hq_address,,France
5413118,industry_tags,"[""Other Information Services"",""Legal and Regulatory Data""]",
5413118,scale,,Mid Cap
5413118,sectors,"[""Business Services""]",
5413118,sub_sectors,"[""Data & Information Services""]",
5413122,hq_address,,France
5413122,hq_address,,France
5413122,hq_address,,France
5413122,industry_tags,"[""Other Information Services"",""Legal and Regulatory Data""]",
5413122,scale,,Mid Cap
5413122,sectors,"[""Business Services""]",
5413122,sub_sectors,"[""Data & Information Services""]",
5413130,scale,,Small Cap
1142265,hq_address,,Netherlands
1142265,hq_address,,Netherlands
1142265,industry_tags,"[""Enterprise Automation Software""]",
1142265,scale,,Large Cap
1142265,sectors,"[""Technology & Telecoms""]",
1142265,sub_sectors,"[""Software""]",
5383834,hq_address,,United States
5383834,industry_tags,"[""Speciality Retail"",""Dental, Optical, Hearing and Pharmacies"",""Beauty and Skincare"",""Healthcare Software""]",
5383834,scale,,Very Large Cap
5383834,sectors,"[""Technology & Telecoms"",""Healthcare & Pharmaceuticals""]",
5383834,sub_sectors,"[""Patient Services"",""Software""]",
1201883,hq_address,,Germany
1201883,industry_tags,"[""Healthcare Software"",""Diagnostic Equipment"",""Systems Integrators""]",
1201883,scale,,Very Large Cap
1201883,sectors,"[""Healthcare & Pharmaceuticals"",""Technology & Telecoms""]",
1470485,sub_sectors,"[""Software""]",
1311205,scale,,Small Cap
1213788,hq_address,,Italy
1213788,scale,,Small Cap
1303404,hq_address,,United States
1083647,hq_address,,United Kingdom
1083647,industry_tags,"[""Wealth Management"",""Property and Casualty Insurance""]",
1083647,scale,,Very Large Cap
1083647,sectors,"[""Financial Services""]",
1083647,sub_sectors,"[""Insurance"",""Asset and Wealth Management""]",
1140392,hq_address,,United Kingdom
1140392,industry_tags,"[""Insurance Services"",""Property and Casualty Insurance""]",
1140392,scale,,Large Cap
1140392,sectors,"[""Financial Services""]",
1140392,sub_sectors,"[""Insurance""]",
1035611,hq_address,,United States
1035611,scale,,TBC
1221692,hq_address,,United States
1221692,hq_address,,United States
1221692,industry_tags,"[""Managed Services"",""Consumer Marketplaces"",""Marketing and Content Management Software""]",
1221692,scale,,Very Large Cap
1221692,sectors,"[""Technology & Telecoms""]",
1221692,sub_sectors,"[""IT Services"",""Software""]",
1230033,hq_address,,United Kingdom
1230033,industry_tags,"[""Midstream Oil and Gas"",""Downstream Oil and Gas""]",
1230033,scale,,Very Large Cap
1230033,sectors,"[""Energy & Resources""]",
1230033,sub_sectors,"[""Oil and Gas""]",
1309637,hq_address,,United Kingdom
1309637,hq_address,,United Kingdom
1309637,industry_tags,"[""ERP, HCM, Accounting, and Tax Software"",""Public Sector and Education Software"",""Legal and Professional Services Software""]",
1309637,scale,,Large Cap
1309637,sectors,"[""Technology & Telecoms""]",
1309637,sub_sectors,"[""Software""]",
1230005,hq_address,,United Kingdom
1230005,industry_tags,"[""Engineering and Industrial Consulting"",""Program \/ Construction Management""]",
1230005,scale,,Large Cap
1230005,sectors,"[""Business Services""]",
1230005,sub_sectors,"[""Industrial Services"",""Professional Services and BPO""]",
1304618,hq_address,,
1304618,industry_tags,"[""Insurance Distribution""]",
1304618,scale,,Large Cap
1304618,sectors,"[""Financial Services""]",
1304618,sub_sectors,"[""Insurance""]",
1225902,hq_address,,United States
1225902,industry_tags,"[""Financial Services Software""]",
1225902,scale,,Large Cap
1225902,sectors,"[""Technology & Telecoms""]",
1225902,sub_sectors,"[""Software""]",
1230357,hq_address,,United Kingdom
1230357,industry_tags,"[""Landscaping and Grounds"",""Waste Management"",""Installation, Maintenance and Technical Services"",""Energy Management Services"",""Environmental Services""]",
1230357,scale,,Very Large Cap
1230357,sectors,"[""Business Services""]",
1230357,sub_sectors,"[""Facilities Management"",""Industrial Services""]",
1318976,scale,,Very Large Cap
1424429,hq_address,,United States
1424429,industry_tags,"[""Enterprise Automation Software"",""Tech & IT Infrastructure Software""]",
1424429,scale,,Mid Cap
1424429,sectors,"[""Technology & Telecoms""]",
1424429,sub_sectors,"[""Software""]",
1151705,hq_address,,United Kingdom
1151705,industry_tags,"[""Engineering and Construction""]",
1151705,scale,,Mid Cap
1151705,sectors,"[""Business Services""]",
1151705,sub_sectors,"[""Industrial Services""]",
1391119,hq_address,,United Kingdom
1391119,scale,,Small Cap
1351414,hq_address,,United States
1351414,industry_tags,"[""Healthcare Software""]",
1351414,scale,,Mid Cap
1351414,sectors,"[""Technology & Telecoms""]",
1351414,sub_sectors,"[""Software""]",
1309785,scale,,TBC
5383063,hq_address,,United Kingdom
5383063,scale,,TBC
5411795,hq_address,,Canada
5411795,industry_tags,"[""Healthcare Software"",""Utilities and Telecoms Software"",""Public Sector and Education Software"",""ERP, HCM, Accounting, and Tax Software""]",
5411795,scale,,Mid Cap
5411795,sectors,"[""Technology & Telecoms""]",
5411795,sub_sectors,"[""Software""]",
1387187,industry_tags,"[""Industrial and Built Environment Software"",""Database, Data Management, and Analytics Software""]",
1387187,scale,,Mid Cap
1387187,sectors,"[""Technology & Telecoms""]",
1387187,sub_sectors,"[""Software""]",
1104134,hq_address,,United States
1104134,industry_tags,"[""Cybersecurity Software""]",
1104134,scale,,Large Cap
1104134,sectors,"[""Technology & Telecoms""]",
1104134,sub_sectors,"[""Software""]",
5386834,industry_tags,"[""Industrial and Built Environment Software"",""Database, Data Management, and Analytics Software""]",
5386834,scale,,Mid Cap
5386834,sectors,"[""Technology & Telecoms""]",
5386834,sub_sectors,"[""Software""]",
5411804,hq_address,,Canada
5411804,industry_tags,"[""Healthcare Software"",""Utilities and Telecoms Software"",""Public Sector and Education Software"",""ERP, HCM, Accounting, and Tax Software""]",
5411804,scale,,Mid Cap
5411804,sectors,"[""Technology & Telecoms""]",
5411804,sub_sectors,"[""Software""]",
5411814,hq_address,,United Kingdom
5411814,scale,,Very Large Cap
5411814,sectors,"[""Real Estate, Utilities & Infrastructure""]",
1231777,hq_address,,United States
1231777,industry_tags,"[""Testing and Regulatory Compliance""]",
1231777,scale,,Mid Cap
1231777,sectors,"[""Business Services""]",
1231777,sub_sectors,"[""TIC & Compliance""]",
5411821,hq_address,,United States
5411821,industry_tags,"[""Energy Providers""]",
5411821,scale,,Very Large Cap
5411821,sectors,"[""Real Estate, Utilities & Infrastructure""]",
5411821,sub_sectors,"[""Utilities""]",
1289474,hq_address,,United States
1289474,scale,,Very Large Cap
1292279,hq_address,,United States
1292279,industry_tags,"[""Energy Providers""]",
1292279,scale,,Very Large Cap
1292279,sectors,"[""Real Estate, Utilities & Infrastructure""]",
1292279,sub_sectors,"[""Utilities""]",
1301648,hq_address,,Germany
1301648,scale,,Small Cap
5412745,industry_tags,"[""Utilities and Telecoms Software""]",
5412745,scale,,Mid Cap
