assignment_id,industry,sectors,sub_sectors,scale,country
6037,"[""Managed Services""]","[""Technology & Telecoms""]","[""IT Services""]",Large Cap,France
6806,"[""Industrial Components and Consumables""]","[""Industrials & Materials""]","[""Industrial Products""]",Mid Cap,
6553,"[""Managed Services""]","[""Technology & Telecoms""]","[""IT Services""]",Mid Cap,France
6292,"[""Supply Chain & Transportation Software"",""Industrial and Built Environment Software""]","[""Technology & Telecoms""]","[""Software""]",Small Cap,
6164,"[""Other BPO""]","[""Business Services""]","[""Professional Services and BPO""]",Large Cap,Belgium
6025,"[""Tech & IT Infrastructure Software""]","[""Technology & Telecoms""]","[""Software""]",Mid Cap,Belgium
6926,"[""Engineering and Industrial Consulting""]","[""Business Services""]","[""Professional Services and BPO""]",Mid Cap,Denmark
6174,"[""Regtech, GRC, and EHS Software""]","[""Technology & Telecoms""]","[""Software""]",Mid Cap,Germany
6192,"[""Consulting"",""Managed Services""]","[""Business Services"",""Technology & Telecoms""]","[""Professional Services and BPO"",""IT Services""]",Large Cap,Ireland
7042,"[""Marine Services""]","[""Business Services""]","[""Transportation and Freight Services""]",Large Cap,Norway
6871,"[""Installation, Maintenance and Technical Services""]","[""Business Services""]","[""Facilities Management""]",Mid Cap,Sweden
6798,"[""Financial Services Software"",""Marketing and Content Management Software"",""Regtech, GRC, and EHS Software"",""Managed Services"",""Consulting""]","[""Business Services"",""Technology & Telecoms""]","[""IT Services"",""Professional Services and BPO"",""Software""]",Mid Cap,Germany
6599,"[""Regtech, GRC, and EHS Software"",""Financial Services Software""]","[""Technology & Telecoms""]","[""Software""]",Mid Cap,Germany
6997,"[""Industrial and Built Environment Software""]","[""Technology & Telecoms""]","[""Software""]",Mid Cap,Denmark
7237,"[""Other Information Services"",""Legal and Regulatory Data""]","[""Business Services""]","[""Data & Information Services""]",Mid Cap,France
6049,"[""Cybersecurity Software""]","[""Technology & Telecoms""]","[""Software""]",Small Cap,
6268,"[""Managed Services""]","[""Technology & Telecoms""]","[""IT Services""]",Mid Cap,Finland
6106,"[""Engineering and Construction""]","[""Business Services""]","[""Industrial Services""]",Mid Cap,Ireland
6219,"[""eCommerce"",""Consumer Marketplaces""]","[""Consumer, Retail & Leisure""]","[""Retail"",""Consumer Services""]",Large Cap,Netherlands
6188,"[""Industrial and Built Environment Software"",""ERP, HCM, Accounting, and Tax Software"",""Supply Chain & Transportation Software""]","[""Technology & Telecoms""]","[""Software""]",Large Cap,United Kingdom
6745,"[""Database, Data Management, and Analytics Software"",""Financial Services Software""]","[""Technology & Telecoms""]","[""Software""]",Mid Cap,
6050,"[""Cybersecurity Software""]","[""Technology & Telecoms""]","[""Software""]",Mid Cap,Sweden
6377,"[""Supply Chain & Transportation Software""]","[""Technology & Telecoms""]","[""Software""]",Large Cap,Austria
7017,,,,Small Cap,
6941,"[""Healthcare Software""]","[""Technology & Telecoms""]","[""Software""]",Small Cap,France
6053,"[""Financial Services Software"",""Regtech, GRC, and EHS Software"",""ERP, HCM, Accounting, and Tax Software""]","[""Technology & Telecoms""]","[""Software""]",Very Large Cap,United Kingdom
7013,"[""Financial Services Software""]","[""Technology & Telecoms""]","[""Software""]",Mid Cap,
6805,"[""CRM and Customer Experience (CX) Software"",""Communication Software""]","[""Technology & Telecoms""]","[""Software""]",Mid Cap,United Kingdom
6311,"[""Installation, Maintenance and Technical Services"",""Energy Management Services""]","[""Business Services""]","[""Facilities Management"",""Industrial Services""]",Mid Cap,United Kingdom
6868,"[""Business Productivity Software"",""Cybersecurity Software""]","[""Technology & Telecoms""]","[""Software""]",Small Cap,Finland
6222,"[""Procurement and Accounts Receivable Software"",""Payments""]","[""Technology & Telecoms"",""Financial Services""]","[""Software"",""Banking""]",Large Cap,United States
5986,"[""CRM and Customer Experience (CX) Software"",""Marketing and Content Management Software""]","[""Technology & Telecoms""]","[""Software""]",Mid Cap,Belgium
6937,"[""Hygiene and Personal Care"",""Pharmaceuticals"",""Clinical Trial Services \/ CROs""]","[""Healthcare & Pharmaceuticals""]","[""FMCG""]",Very Large Cap,France
6189,"[""ERP, HCM, Accounting, and Tax Software""]","[""Technology & Telecoms""]","[""Software""]",Large Cap,United Kingdom
6061,"[""Consumer and SME Connectivity""]","[""Technology & Telecoms""]","[""Telecoms""]",Large Cap,
6856,"[""Consulting"",""Application Development"",""Systems Integrators"",""Testing and Regulatory Compliance"",""Managed Services"",""Healthcare Software""]","[""Business Services"",""Technology & Telecoms""]","[""Professional Services and BPO"",""Software"",""IT Services""]",Very Large Cap,Finland
6216,"[""Financial Services Software""]","[""Technology & Telecoms""]","[""Software""]",Large Cap,Australia
6116,"[""Supply Chain & Transportation Software""]","[""Technology & Telecoms""]","[""Software""]",Large Cap,Finland
6889,"[""Tools, Instruments and Controls""]","[""Industrials & Materials""]","[""Industrial Products""]",Mid Cap,United Kingdom
6878,"[""Wealth Management""]","[""Financial Services""]","[""Asset and Wealth Management""]",Mid Cap,
6661,"[""CRM and Customer Experience (CX) Software"",""Marketing and Content Management Software""]","[""Technology & Telecoms""]","[""Software""]",Large Cap,United States
6024,"[""Marketing and Content Management Software""]","[""Technology & Telecoms""]","[""Software""]",Small Cap,Netherlands
5950,"[""Newspapers and Magazines"",""Other Information Services""]","[""Business Services"",""Media & Entertainment""]","[""B2C Content"",""Data & Information Services""]",Mid Cap,United States
6954,"[""Nutraceuticals"",""Non-Alcoholic Drinks""]","[""Healthcare & Pharmaceuticals"",""Consumer, Retail & Leisure""]","[""Pharmaceuticals, Biotech and Pharma Services"",""Food and Beverage""]",Large Cap,Sweden
6108,"[""ERP, HCM, Accounting, and Tax Software"",""Public Sector and Education Software""]","[""Technology & Telecoms""]","[""Software""]",Very Large Cap,United States
6376,"[""Cybersecurity Software""]","[""Technology & Telecoms""]","[""Software""]",Mid Cap,Germany
6221,"[""Financial Services Software""]","[""Technology & Telecoms""]","[""Software""]",Mid Cap,United States
6228,"[""Cybersecurity Software""]","[""Technology & Telecoms""]","[""Software""]",Large Cap,United States
6013,"[""Cybersecurity Software"",""Communication Software""]","[""Technology & Telecoms""]","[""Software""]",Mid Cap,United States
6196,"[""Healthcare Software"",""Healthcare Data and Analytics""]","[""Technology & Telecoms"",""Business Services""]","[""Data & Information Services"",""Software""]",Small Cap,Denmark
6514,"[""Managed Services"",""Enterprise Automation Software""]","[""Technology & Telecoms""]","[""Software"",""IT Services""]",Small Cap,United Kingdom
7056,"[""Market Research"",""Other Information Services""]","[""Business Services""]","[""Data & Information Services""]",Large Cap,United Kingdom
6726,"[""Enterprise Automation Software"",""Legal and Professional Services Software""]","[""Technology & Telecoms""]","[""Software""]",Small Cap,United States
6794,"[""Financial Services Software"",""Cybersecurity Software""]","[""Technology & Telecoms""]","[""Software""]",Mid Cap,United States
7222,"[""Healthcare Software""]","[""Technology & Telecoms""]","[""Software""]",Small Cap,United States
6057,"[""Enterprise and Wholesale Connectivity""]","[""Technology & Telecoms""]","[""Telecoms""]",Large Cap,United States
